user_id	date	error_description
1	2015-02-12 01:02:01	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:02:13	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:06:36	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:08:52	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:10:26	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:31:45	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:34:24	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:34:59	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:35:14	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
1	2015-02-12 01:35:29	Errors in upload process: 32 - Description: required info missing at row 1, required info missing at row 3, required info missing at row 4, required info missing at row 5, required info missing at row 7, required info missing at row 8, required info missing at row 9, required info missing at row 11, required info missing at row 12, required info missing at row 13, required info missing at row 15, required info missing at row 16, required info missing at row 18, gender format error at row 18, required info missing at row 19, required info missing at row 20, required info missing at row 21, required info missing at row 23, gender format error at row 24, required info missing at row 25, required info missing at row 26, required info missing at row 28, required info missing at row 29, required info missing at row 30, required info missing at row 31, required info missing at row 33, required info missing at row 34, required info missing at row 35, required info missing at row 36, required info missing at row 37, required info missing at row 39, required info missing at row 40, . Please check and try again.
